original,cpp filter
-2.59489e-15,-2.47793e-14
-2.14909e-15,-2.05223e-14
-1.77989e-15,-1.69967e-14
-1.47411e-15,-1.40767e-14
-1.22087e-15,-1.16584e-14
-1.01113e-15,-9.65554e-15
-0.0173483,-0.165664
-0.0143679,-0.137203
-0.0298015,-0.284583
-0.043155,-0.4121
-0.0357411,-0.341303
-0.029601,-0.282668
-0.0245156,-0.234107
-0.0203039,-0.193888
-0.0168158,-0.160579
-0.0139269,-0.132992
-0.0300076,-0.286551
-0.0248524,-0.237323
-0.0205829,-0.196552
-0.0170468,-0.162785
-0.0141182,-0.134819
-0.0116928,-0.111658
-0.00968402,-0.0924756
-0.00802034,-0.0765886
-0.00664248,-0.063431
-0.00550133,-0.0525339
-0.00455623,-0.0435088
0.0146998,0.140373
0.0121744,0.116257
0.0100829,0.0962846
0.0083507,0.0797433
0.024818,0.236995
0.0205544,0.19628
0.0170232,0.16256
0.0140987,0.134633
0.0116766,0.111503
0.00967062,0.0923476
0.00800924,0.0764826
0.00663329,0.0633432
0.00549372,0.0524611
0.00454992,0.0434485
0.0222415,0.212391
0.0184205,0.175903
0.015256,0.145684
0.012635,0.120656
0.0104644,0.0999276
0.00866666,0.0827605
0.00717776,0.0685426
0.00594465,0.0567672
0.00492339,0.0470149
0.00407757,0.0389379
0.00337706,0.0322485
0.00279689,0.0267084
0.0023164,0.02212
0.00191845,0.0183199
0.00158887,0.0151726
0.0197892,0.188973
0.0163895,0.156508
0.0135738,0.129621
0.0112419,0.107352
0.00931059,0.0889096
0.00771107,0.0736353
0.00638634,0.0609851
0.00528919,0.0505081
0.00438053,0.041831
0.00362798,0.0346446
0.0030047,0.0286928
0.00248851,0.0237635
0.00206099,0.019681
0.00170692,0.0162999
0.0198869,0.189906
0.0164704,0.157281
0.0136409,0.130261
0.0112974,0.107883
0.00935659,0.0893489
0.00774917,0.0739991
0.00641789,0.0612864
0.00531533,0.0507576
0.00440218,0.0420377
0.0036459,0.0348158
0.00301955,0.0288346
0.0025008,0.0238809
0.00207118,0.0197783
0.00171536,0.0163805
0.00142067,0.0135664
0.0011766,0.0112357
0.000974466,0.00930547
0.000807057,0.00770683
0.000668408,0.00638283
0.000553578,0.00528628
0.000458476,0.00437812
0.000379712,0.00362598
0.000314479,0.00300305
0.000260453,0.00248714
0.000215708,0.00205986
0.00017865,0.00170598
0.000147959,0.0014129
0.00012254,0.00117017
0.000101488,0.000969141
8.4053e-05,0.000802647
6.9613e-05,0.000664756
5.76538e-05,0.000550553
4.77491e-05,0.000455971
3.9546e-05,0.000377637
3.27522e-05,0.00031276
2.71255e-05,0.000259029
2.24654e-05,0.000214529
1.8606e-05,0.000177674
1.54095e-05,0.00014715
1.27623e-05,0.000121871
0.0184838,0.176508
0.0153084,0.146184
0.0126785,0.12107
0.0105004,0.100271
0.00869644,0.0830449
0.00720243,0.0687781
0.00596508,0.0569623
0.00494031,0.0471765
0.00409158,0.0390717
0.00338867,0.0323594
0.0207084,0.197751
0.0171508,0.163778
0.0142044,0.135642
0.0117641,0.112339
0.0097431,0.0930397
0.00806927,0.0770559
0.00668301,0.063818
0.00553489,0.0528543
0.00458402,0.0437742
0.00379651,0.036254
0.00314428,0.0300257
0.0210774,0.201274
0.0174564,0.166696
0.0144574,0.138058
0.0119737,0.11434
0.00991668,0.0946973
0.00821303,0.0784287
0.00680207,0.064955
0.0056335,0.053796
0.00466569,0.044554
0.00386414,0.0368998
0.0032003,0.0305606
0.0026505,0.0253104
0.00219516,0.0209622
0.00181804,0.017361
0.00150571,0.0143784
0.00124703,0.0119083
0.0010328,0.00986249
0.000855367,0.00816815
0.000708418,0.0067649
0.000586715,0.00560272
0.00048592,0.00464019
0.000402441,0.00384303
0.000333303,0.00318281
0.000276043,0.00263602
0.00022862,0.00218316
0.000189344,0.0018081
0.000156816,0.00149748
0.000129875,0.00124022
0.000107563,0.00102715
8.90844e-05,0.000850693
7.378e-05,0.000704548
6.11049e-05,0.000583509
5.06074e-05,0.000483265
4.19132e-05,0.000400242
3.47127e-05,0.000331482
2.87492e-05,0.000274535
2.38102e-05,0.000227371
1.97197e-05,0.000188309
0.0184896,0.176563
0.0153132,0.14623
0.0126824,0.121108
0.0105036,0.100302
0.00869915,0.0830708
0.00720468,0.0687996
0.00596694,0.0569801
0.00494185,0.0471912
0.00409286,0.0390839
0.00338972,0.0323695
0.00280738,0.0268085
0.00232508,0.0222029
0.00192564,0.0183886
0.00159483,0.0152295
0.00132084,0.0126131
0.00109393,0.0104462
0.000905995,0.00865162
0.000750349,0.0071653
0.000621442,0.00593433
0.000514681,0.00491484
0.000426261,0.00407049
0.000353031,0.0033712
0.000292382,0.00279204
0.000242152,0.00231238
0.000200551,0.00191512
0.000166097,0.00158611
0.000137563,0.00131363
0.00011393,0.00108795
9.43572e-05,0.000901045
7.8147e-05,0.000746249
6.47217e-05,0.000618046
0.0179555,0.171463
0.0148708,0.142006
0.0123161,0.11761
0.0102002,0.0974051
0.00844788,0.0806713
0.00699657,0.0668123
0.00579459,0.0553343
0.0047991,0.0458281
0.00397464,0.037955
0.00329181,0.0314345
0.00272629,0.0260342
0.00225793,0.0215616
0.00187002,0.0178574
0.00154876,0.0147896
0.00128269,0.0122488
0.00106233,0.0101445
0.000879826,0.00840172
0.000728676,0.00695834
0.0190768,0.18217
0.0157994,0.150874
0.0130852,0.124954
0.0108372,0.103488
0.00897541,0.0857088
0.00743347,0.0709844
0.00615643,0.0587896
0.00509878,0.0486898
0.00422283,0.0403251
0.00349737,0.0333974
0.00289654,0.0276599
0.00239892,0.022908
0.0019868,0.0189725
0.00164547,0.0157131
0.00136279,0.0130137
0.00112867,0.010778
0.000934767,0.00892637
0.000774178,0.00739285
0.000641177,0.00612279
0.000531026,0.00507092
0.000439798,0.00419976
0.000364242,0.00347826
0.000301667,0.00288071
0.000249842,0.00238581
0.00020692,0.00197594
0.000171372,0.00163648
0.000141931,0.00135534
0.000117548,0.0011225
9.73537e-05,0.000929659
8.06287e-05,0.000769947
6.6777e-05,0.000637674
5.5305e-05,0.000528124
4.58038e-05,0.000437395
3.79349e-05,0.000362252
3.14179e-05,0.000300019
2.60204e-05,0.000248477
2.15502e-05,0.000205789
1.7848e-05,0.000170436
1.47818e-05,0.000141156
1.22423e-05,0.000116906
1.01391e-05,9.68217e-05
8.39728e-06,8.01881e-05
6.95467e-06,6.64122e-05
5.75988e-06,5.50028e-05
4.77036e-06,4.55536e-05
3.95083e-06,3.77277e-05
3.2721e-06,3.12462e-05
2.70996e-06,2.58782e-05
2.2444e-06,2.14325e-05
1.85882e-06,1.77505e-05
1.53949e-06,1.4701e-05
1.27501e-06,1.21754e-05
1.05597e-06,1.00837e-05
8.74557e-07,8.3514e-06
7.24311e-07,6.91666e-06
5.99878e-07,5.72841e-06
4.96821e-07,4.74429e-06
4.11469e-07,3.92924e-06
3.40781e-07,3.25422e-06
2.82236e-07,2.69516e-06
2.33749e-07,2.23214e-06
1.93592e-07,1.84867e-06
1.60334e-07,1.53107e-06
1.32789e-07,1.26804e-06
1.09976e-07,1.0502e-06
9.10829e-08,8.69778e-07
7.54352e-08,7.20353e-07
6.24758e-08,5.966e-07
5.17427e-08,4.94106e-07
4.28535e-08,4.09221e-07
3.54915e-08,3.38918e-07
2.93942e-08,2.80694e-07
2.43444e-08,2.32472e-07
2.01621e-08,1.92534e-07
1.66983e-08,1.59457e-07
1.38296e-08,1.32063e-07
1.14538e-08,1.09375e-07
9.48606e-09,9.05852e-08
7.85639e-09,7.5023e-08
6.5067e-09,6.21344e-08
5.38887e-09,5.14599e-08
4.46309e-09,4.26193e-08
3.69635e-09,3.52975e-08
0.0179019,0.170951
0.0148265,0.141582
0.0122793,0.117259
0.0101698,0.0971144
0.00842267,0.0804305
0.00697569,0.0666129
0.0231256,0.220833
0.0191527,0.182895
0.0158623,0.151474
0.0131373,0.125452
0.0108803,0.103899
0.00901113,0.08605
0.00746306,0.0712669
0.00618093,0.0590236
0.00511908,0.0488836
0.00423964,0.0404856
0.00351129,0.0335303
0.00290806,0.02777
0.00240847,0.0229992
0.0019947,0.019048
0.00165202,0.0157757
0.00136821,0.0130655
0.00113316,0.0108209
0.0194117,0.185369
0.0160769,0.153523
0.0133149,0.127148
0.0110275,0.105305
