Hip desired,Hip actual,Knee desired,Knee actual,Ankle desired,Ankle actual,deformation of ankle
-3.41855,-0.920388,-2.73786,-0.460194,0.0504719,0,-0.00920388
-3.41855,-0.920388,-2.73786,-0.460194,0.0504719,0,-0.00920388
-3.41855,-0.920388,-2.73786,-0.460194,0.0504719,0,-0.00920388
-3.41855,-0.920388,-2.73786,-0.460194,0.0504719,0,-0.00920388
-3.41855,-0.920388,-2.73786,-0.460194,0.0504719,0,-0.00920388
-3.41855,-0.920388,-2.73786,-0.460194,0.0504719,0,-0.00920388
-3.40145,-0.920388,-2.73786,-0.460194,0.0825799,0,-0.00920388
-3.40439,-0.920388,-2.73786,-0.460194,0.0770639,0,-0.00920388
-3.38918,-0.920388,-2.73786,-0.460194,0.105628,0,-0.00920388
-3.37602,-0.920388,-2.73786,-0.460194,0.130343,0,-0.0076699
-3.38333,-0.920388,-2.73786,-0.460194,0.116621,0,-0.0076699
-3.38938,-0.920388,-2.73786,-0.460194,0.105257,0,-0.0076699
-3.39439,-0.920388,-2.73786,-0.460194,0.0958453,0,-0.0076699
-3.39854,-0.920388,-2.73786,-0.460194,0.0880503,0,-0.0076699
-3.40198,-0.920388,-2.73786,-0.460194,0.0815945,0,-0.0076699
-3.40483,-0.920388,-2.73786,-0.460194,0.0762478,0,-0.0076699
-3.38898,-0.920388,-2.73786,-0.460194,0.10601,0,-0.00613592
-3.39406,-0.920388,-2.73786,-0.460194,0.0964686,0,-0.00613592
-3.39827,-0.920388,-2.73786,-0.460194,0.0885665,0,-0.00613592
-3.40175,-0.920388,-2.73786,-0.460194,0.082022,0,-0.00613592
-3.40464,-0.920388,-2.73786,-0.460194,0.0766019,0,-0.00613592
-3.40703,-0.920388,-2.73786,-0.460194,0.0721128,0,-0.00613592
-3.40901,-0.920388,-2.73786,-0.460194,0.068395,0,-0.00613592
-3.41065,-0.920388,-2.73786,-0.460194,0.0653159,0,-0.00613592
-3.412,-0.920388,-2.73786,-0.460194,0.0627658,0,-0.00613592
-3.41313,-0.920388,-2.73786,-0.460194,0.0606537,0,-0.00613592
-3.41406,-0.920388,-2.73786,-0.460194,0.0589045,0,-0.00613592
-3.43303,-0.920388,-2.73786,-0.460194,0.0232657,0,-0.0076699
-3.43055,-0.920388,-2.73786,-0.460194,0.0279396,0,-0.0076699
-3.42848,-0.920388,-2.73786,-0.460194,0.0318106,0,-0.0076699
-3.42678,-0.920388,-2.73786,-0.460194,0.0350165,0,-0.0076699
-3.443,-0.920388,-2.73786,-0.460194,0.00453894,0,-0.0076699
-3.4388,-0.920388,-2.73786,-0.460194,0.01243,0,-0.0076699
-3.43532,-0.920388,-2.73786,-0.460194,0.0189655,0,-0.0076699
-3.43244,-0.920388,-2.73786,-0.460194,0.0243781,0,-0.0076699
-3.43006,-0.920388,-2.73786,-0.460194,0.028861,0,-0.0076699
-3.42808,-0.920388,-2.73786,-0.460194,0.0325736,0,-0.0076699
-3.42644,-0.920388,-2.73786,-0.460194,0.0356485,0,-0.0076699
