Hip desired,Hip actual,Knee desired,Knee actual,Ankle desired,Ankle actual,M_term Hip,M_term Knee,M_term Ankle
-2.65267,-0.819146,-1.74937,-0.306796,0.471225,0.207087,0.617077,0.189739,0.0197952
-2.64767,-0.819146,-1.74966,-0.306796,0.480484,0.207087,0.64796,0.203192,0.0213102
-2.64301,-0.819146,-1.75006,-0.306796,0.488394,0.207087,0.678735,0.216595,0.0228197
-2.63806,-0.819146,-1.75058,-0.306796,0.49757,0.207087,0.709395,0.229946,0.0243233
-2.63251,-0.819146,-1.75069,-0.306796,0.492306,0.207087,0.739932,0.243242,0.0258206
-2.62042,-0.819146,-1.74287,-0.306796,0.479098,0.207087,0.770336,0.256476,0.0273114
-2.58697,-0.819146,-1.83154,-0.613592,0.468544,0.207087,0.800666,0.269741,0.0287965
-2.5613,-0.819146,-1.80884,-0.613592,0.324264,0.207087,0.830783,0.28284,0.030273
-2.60085,-1.09219,-1.76872,-0.613592,0.333003,0.207087,0.860742,0.295865,0.0317419
-2.55712,-1.09219,-1.73979,-0.613592,0.3431,0.207087,0.890534,0.30881,0.0332026
-2.50457,-1.09219,-1.81989,-0.920388,0.358315,0.207087,0.920231,0.321779,0.034656
-2.45056,-1.09219,-1.79148,-0.920388,0.241272,0.207087,0.94967,0.334558,0.0360993
-2.39787,-1.09219,-1.77101,-0.920388,0.280817,0.207087,0.978926,0.347257,0.0375335
-2.35544,-1.09219,-1.7536,-0.920388,0.32022,0.207087,1.00799,0.35987,0.038958
-2.3182,-1.09219,-1.73537,-0.920388,0.348192,0.207087,1.03685,0.37239,0.0403726
-2.28033,-1.09219,-1.72747,-0.920388,0.375184,0.207087,1.06551,0.384826,0.0417769
-2.25251,-1.09219,-1.72361,-0.920388,0.406505,0.207087,1.09396,0.397173,0.0431706
-2.22458,-1.09219,-1.71967,-0.920388,0.424097,0.207087,1.12219,0.409422,0.0445534
-2.1918,-1.09219,-1.7195,-0.920388,0.432818,0.207087,1.1502,0.421573,0.0459247
-2.16449,-1.09219,-1.71683,-0.920388,0.431261,0.207087,1.17797,0.433624,0.0472845
-2.12971,-1.09219,-1.71532,-0.920388,0.430405,0.207087,1.2055,0.445568,0.0486322
-2.10095,-1.09219,-1.7125,-0.920388,0.435888,0.207087,1.23278,0.457406,0.0499676
-2.06939,-1.09219,-1.7115,-0.920388,0.442668,0.207087,1.25982,0.469135,0.0512905
-2.11213,-1.36524,-1.68808,-0.920388,0.454735,0.207087,1.28658,0.480739,0.0526001
-2.07898,-1.36524,-1.68624,-0.920388,0.465971,0.207087,1.31308,0.492233,0.0538963
-2.0485,-1.36524,-1.68168,-0.920388,0.478105,0.207087,1.33929,0.5036,0.0551787
-2.00955,-1.36524,-1.67637,-0.920388,0.490045,0.207087,1.36522,0.514838,0.056447
-1.98116,-1.36524,-1.67211,-0.920388,0.497835,0.207087,1.39086,0.525951,0.0577009
-1.95287,-1.36524,-1.66585,-0.920388,0.503622,0.207087,1.4162,0.536929,0.0589398
-1.93633,-1.36524,-1.65828,-0.920388,0.509011,0.207087,1.44123,0.547773,0.0601636
-1.92382,-1.36524,-1.6529,-0.920388,0.513859,0.207087,1.46595,0.558483,0.0613718
-1.91542,-1.36524,-1.64456,-0.920388,0.517517,0.207087,1.49035,0.569049,0.0625642
-1.90471,-1.36524,-1.63724,-0.920388,0.518563,0.207087,1.51443,0.579473,0.0637405
-1.89534,-1.36524,-1.63241,-0.920388,0.524386,0.207087,1.53818,0.589754,0.0649003
-1.88659,-1.36524,-1.62491,-0.920388,0.527739,0.207087,1.56158,0.599883,0.0660433
-1.87569,-1.36524,-1.62085,-0.920388,0.530826,0.207087,1.58464,0.609865,0.0671692
-1.86552,-1.36524,-1.61631,-0.920388,0.535091,0.207087,1.60736,0.619693,0.0682776
-1.85394,-1.36524,-1.61216,-0.920388,0.533897,0.207087,1.62971,0.629364,0.0693682
-1.83906,-1.36524,-1.60658,-0.920388,0.532747,0.207087,1.65169,0.638871,0.0704407
-1.82439,-1.36524,-1.59853,-0.920388,0.530032,0.207087,1.6733,0.64821,0.0714947
-1.81182,-1.36524,-1.59496,-0.920388,0.528177,0.207087,1.69455,0.657393,0.0725301
-1.79948,-1.36524,-1.59178,-0.920388,0.525566,0.207087,1.71541,0.666411,0.0735465
-1.78839,-1.36524,-1.58587,-0.920388,0.525868,0.207087,1.73587,0.675251,0.0745435
-1.77903,-1.36524,-1.58273,-0.920388,0.527725,0.207087,1.75595,0.683925,0.0755209
-1.77017,-1.36524,-1.57947,-0.920388,0.52716,0.207087,1.77563,0.692423,0.0764785
-1.76136,-1.36524,-1.57949,-0.920388,0.529972,0.207087,1.7949,0.700749,0.0774158
-1.75555,-1.36524,-1.57654,-0.920388,0.532601,0.207087,1.81376,0.708889,0.0783326
-1.74996,-1.36524,-1.57379,-0.920388,0.535443,0.207087,1.8322,0.716847,0.0792287
-1.7436,-1.36524,-1.57189,-0.920388,0.538065,0.207087,1.85022,0.72462,0.0801037
-1.73821,-1.36524,-1.56984,-0.920388,0.537035,0.207087,1.86781,0.732206,0.0809574
-1.73208,-1.36524,-1.5685,-0.920388,0.538956,0.207087,1.88497,0.739601,0.0817895
-1.72898,-1.36524,-1.56631,-0.920388,0.541198,0.207087,1.90168,0.746805,0.0825997
-1.7258,-1.36524,-1.56704,-0.920388,0.539782,0.207087,1.91796,0.75382,0.0833879
-1.80368,-1.63829,-1.55122,-0.920388,0.541316,0.207087,1.93378,0.760634,0.0841536
-1.80053,-1.63829,-1.54958,-0.920388,0.547072,0.207087,1.94915,0.767248,0.0848967
-1.7985,-1.63829,-1.5503,-0.920388,0.548456,0.207087,1.96407,0.773667,0.0856169
-1.79535,-1.63829,-1.54915,-0.920388,0.550022,0.207087,1.97852,0.779878,0.0863139
-1.79461,-1.63829,-1.55027,-0.920388,0.552835,0.207087,1.9925,0.78589,0.0869877
-1.79899,-1.63829,-1.5514,-0.920388,0.554605,0.207087,2.00601,0.791697,0.087638
-1.8092,-1.63829,-1.55089,-0.920388,0.555787,0.207087,2.01904,0.797288,0.0882643
-1.81977,-1.63829,-1.55253,-0.920388,0.558257,0.207087,2.03159,0.802674,0.0888666
-1.83173,-1.63829,-1.55131,-0.920388,0.555779,0.207087,2.04365,0.807843,0.0894446
-1.84446,-1.63829,-1.55275,-0.920388,0.554193,0.207087,2.05522,0.812802,0.0899982
-1.8551,-1.63829,-1.55156,-0.920388,0.554559,0.207087,2.0663,0.817541,0.0905271
-1.86519,-1.63829,-1.54791,-0.920388,0.553521,0.207087,2.07687,0.822057,0.091031
-1.87085,-1.63829,-1.54959,-0.920388,0.55165,0.207087,2.08695,0.826364,0.0915099
-1.87613,-1.63829,-1.55118,-0.920388,0.550068,0.207087,2.09652,0.83045,0.0919636
-1.87897,-1.63829,-1.55365,-0.920388,0.553589,0.207087,2.10559,0.834315,0.0923919
-1.88394,-1.63829,-1.55351,-0.920388,0.550468,0.207087,2.11414,0.837949,0.0927944
-1.88745,-1.63829,-1.5565,-0.920388,0.551178,0.207087,2.12217,0.841363,0.0931712
-1.89344,-1.63829,-1.56214,-0.920388,0.548855,0.207087,2.1297,0.844557,0.093522
-1.89863,-1.63829,-1.56314,-0.920388,0.545799,0.207087,2.13668,0.847511,0.0938466
-1.98496,-1.91134,-1.5547,-0.920388,0.546893,0.207087,2.14315,0.850241,0.094145
-1.99027,-1.91134,-1.5586,-0.920388,0.543688,0.207087,2.14909,0.852741,0.0944169
-1.99602,-1.91134,-1.56227,-0.920388,0.541322,0.207087,2.1545,0.855008,0.0946622
-2.00212,-1.91134,-1.56867,-0.920388,0.541523,0.207087,2.15939,0.857049,0.0948808
-2.01241,-1.91134,-1.57,-0.920388,0.539367,0.207087,2.16372,0.858843,0.0950724
-2.04167,-1.91134,-1.55773,-0.920388,0.527641,0.207087,2.16748,0.860371,0.0952366
-2.06129,-1.91134,-1.56185,-0.920388,0.52673,0.207087,2.17074,0.8617,0.0953742
-1.99779,-1.63829,-1.57489,-0.920388,0.527222,0.207087,2.17345,0.862786,0.0954844
-2.01367,-1.63829,-1.58144,-0.920388,0.528423,0.207087,2.17562,0.863645,0.0955674
-2.02788,-1.63829,-1.58595,-0.920388,0.528209,0.207087,2.17725,0.86426,0.095623
-2.03895,-1.63829,-1.58878,-0.920388,0.529548,0.207087,2.17832,0.864629,0.0956509
-2.04596,-1.63829,-1.59675,-0.920388,0.530516,0.207087,2.17885,0.864769,0.0956513
-2.04817,-1.63829,-1.60015,-0.920388,0.530413,0.207087,2.17882,0.864657,0.0956238
-2.03939,-1.63829,-1.60955,-0.920388,0.532547,0.207087,2.17824,0.864315,0.0955687
-2.02905,-1.63829,-1.61498,-0.920388,0.530583,0.207087,2.1771,0.863718,0.0954856
-2.01779,-1.63829,-1.6244,-0.920388,0.527592,0.207087,2.17541,0.862885,0.0953746
-2.01086,-1.63829,-1.63135,-0.920388,0.525786,0.207087,2.17316,0.861803,0.0952356
-2.08975,-1.91134,-1.62649,-0.920388,0.524297,0.207087,2.17036,0.860484,0.0950686
-2.09184,-1.91134,-1.63304,-0.920388,0.52098,0.207087,2.16699,0.858914,0.0948734
